Tourist_Spot,Address,Zipcode,Region,BoroName
Kissena Park,"164th St and Oak Ave Queens, NY 11358, Flushing",11358,Flushing,Queens
Alley Pond Park,"22806 Northern Blvd  Alley Pond Environmental Center Queens, NY 11363, Bayside",11363,Bayside,Queens
The Battery,"Enter on State Street or Battery Place Manhattan, NY 10004, Battery Park City",10004,Battery Park City,Manhattan
Emmanuel Baptist Church,"279 Lafayette Ave Brooklyn, NY 11238, Fort Greene",11238,Fort Greene,Brooklyn
UNICEF House—Danny Kaye Visitors Centre,"3 U.N. Plaza, 44th St. btw. First & Second Aves. Manhattan, NY 10016, Midtown East",10016,Midtown East,Manhattan
St. Ann & The Holy Trinity Church,"157 Montague St Brooklyn, NY, Brooklyn Heights",11201,Brooklyn Heights,Brooklyn
Hoodwinked Escape,"151 W. 116th St. Manhattan, NY 10026, Harlem",10026,Harlem,Manhattan
Flatbush Dutch Reformed Church,"890 Flatbush Ave Brooklyn, NY 11226, Flatbush",11226,Flatbush,Brooklyn
Staten Island Supreme Courthouse,"18 Richmond Terrace Staten Island, NY 10301, St. George",10301,St. George,Staten Island
Adam Yauch Park,"Atlantic Avenue at Columbia Place Brooklyn, NY 11201, Brooklyn Heights",11201,Brooklyn Heights,Brooklyn
Islamic Cultural Center of New York,"1711 3rd Avenue New York, NY 10029, Upper East Side",10029,Upper East Side,Manhattan
Roosevelt House Public Policy Institute at Hunter College,"47-49 E. 65th St. Manhattan, NY 10065, Upper East Side",10065,Upper East Side,Manhattan
Old Quaker Meeting House,"137-16 Northern Blvd. Queens, NY 11354, Flushing",11354,Flushing,Queens
Go Select NYC,"Official NYC Information Center, 810 Seventh Ave. Manhattan, NY 10019, Times Square/Theatre District",10019,Times Square/Theatre District,Manhattan
Weeksville Heritage Center,"158 Buffalo Ave Brooklyn, NY 11213 Bedford-Stuyvesant",11213,NY 11213 Bedford-Stuyvesant,Brooklyn
The Sightseeing Pass,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Hudson Yards New York,"New York, NY 10001, Midtown West",10001,Midtown West,Manhattan
Castle Clinton National Monument,"Castle Clinton National Monument, 17 Battery Pl. Manhattan, NY 10005-1996, Battery Park City",10005-1996,Battery Park City,Manhattan
34th Street Partnership,"mail: 1065 Sixth Ave., ste. 2400 New York, NY 10018 , Midtown West",10018,Midtown West,Manhattan
General Grant National Memorial,"Riverside Dr and 122nd St Manhattan, NY 10027, Morningside Heights",10027,Morningside Heights,Manhattan
"Pier 25, Hudson River Park","225 West St. Manhattan, NY 10013, Tribeca ",10013,Tribeca,Manhattan
55 Central Park West,"55 Central Park West New York, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Sara D. Roosevelt Park,"East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan, NY 10002, Lower East Side",10002,Lower East Side,Manhattan
Central Park Arsenal,"East side of the park at Fifth Ave and 64th St Manhattan, NY 10065, Central Park",10065,Central Park,Manhattan
InterChurch Center,"475 Riverside Dr., rm. 253 Manhattan, NY 10115, Morningside Heights",10115,Morningside Heights,Manhattan
Sakura Park,"W 122nd St and Riverside Dr Manhattan, NY 10027, Morningside Heights",10027,Morningside Heights,Manhattan
Pelham Bay Park,"Bruckner Blvd and Westchester Ave Bronx, NY 10461, Pelham Bay",10461,Pelham Bay,Bronx
Hudson River Park,"West Side Highway, bet. Battery Place and W. 59th St. Manhattan, NY 10014, Manhattan",10014,Manhattan,Manhattan
LIC Flea & Food,"5-25 46th Ave. Queens, NY 11101, Long Island City",11101,Long Island City,Queens
Grant's Tomb,"Riverside Drive and West 122nd Street Manhattan, NY 10027, Morningside Heights",10027,Morningside Heights,Manhattan
Gravesend Cemetery,"Ave V and Van Sicklen St Brooklyn, NY 11223, Gravesend",11223,Gravesend,Brooklyn
Piers 92/94 New York,"711 Twelfth Ave. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
New York Marble Cemetery,"41 1/2 Second Ave Manhattan, NY 10003, Lower East Side",10003,Lower East Side,Manhattan
New York City AIDS Memorial,"200-218 West 12th Street New York, NY 10011, West Village",10011,West Village,Manhattan
Peter Jay Sharp Theater at Julliard,"155 W. 65th St. Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Chester A. Arthur House,"123 Lexington Ave. Manhattan, NY 10016, Midtown East",10016,Midtown East,Manhattan
Chateau Stables,"608 W. 48th St. New York, NY 10036, Hells Kitchen",10036,Hells Kitchen,Manhattan
LIC Beer Project,"39-28 23rd Street NY 11101, Long Island City",11101,Long Island City,
Central Park's Rumsey Playfield,"14 E 71st St, New York, NY 10021",10021,NY 10021,Manhattan
Christie’s Auction House,"20 Rockefeller Plaza New York, NY 10020, Midtown West",10020,Midtown West,Manhattan
Lasker Rink,"830 5th Avenue New York, NY 10065, Central Park",10065,Central Park,Manhattan
Marble Collegiate Church,"1 W. 29th St. Manhattan, NY 10001, NoMad",10001,NoMad,Manhattan
Riverdale Park,"West 254 Street Bronx, NY 10463, Riverdale",10463,Riverdale,Bronx
Brooklyn Army Terminal,"140 58th St. Brooklyn, NY 11220, Sunset Park",11220,Sunset Park,Brooklyn
NYC Department of Records and Information Services,"Visitor Center, 31 Chambers St., rm. 112 Manhattan, NY 10007, Lower Manhattan",10007,Lower Manhattan,Manhattan
City Ice Pavilion,"47-32 32nd Place Queens, NY 11101, Long Island City",11101,Long Island City,Queens
Floyd Bennett Field,"50 Aviation Road Brooklyn, NY 11234, Brooklyn",11234,Brooklyn,Brooklyn
69th Regiment Armory,"68 Lexington Ave Manhattan, NY Midtown East",10010,NY Midtown East,Manhattan
Federal Hall National Memorial,"26 Wall St Manhattan, NY 10005, Lower Manhattan",10005,Lower Manhattan,Manhattan
Scandinavia House: The Nordic Center in America,"58 Park Ave. Manhattan, NY 10016, Murray Hill",10016,Murray Hill,Manhattan
NYRR RunCenter Featuring the New Balance Run Hub,"320 W. 57th St. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
Bowling Green Park,"Broadway and Whitehall St Manhattan, NY 10004, Lower Manhattan",10004,Lower Manhattan,Manhattan
New York City Horse Carriages,"Pickup location: 59th St. btw. Fifth & Sixth Aves. opposite plaza hotel Manhattan, NY --, Central Park",10019,Central Park,Manhattan
New York Public Library for the Performing Arts,"40 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Empire Stores,"53-83 Water Street NY 11201, DUMBO",11201,DUMBO,
Central Park Bandshell,"Mid-park, 66th to 72nd Sts Manhattan, NY, Central Park",10019,Central Park,Manhattan
The Players Theatre,"115 Macdougal St. Manhattan, NY 10012, Greenwich Village",10012,Greenwich Village,Manhattan
Lefferts Historic House,"452 Flatbush Ave, Brooklyn, NY 11225",11225,NY 11225,Brooklyn
Ford Amphitheater at Coney Island Boardwalk,"3052 W. 21st St. Brooklyn, NY 11224, Coney Island",11224,Coney Island,Brooklyn
MetLife Building,"200 Park Ave. Manhattan, NY 10166, Midtown East",10166,Midtown East,Manhattan
Valentine-Varian House,"3266 Bainbridge Ave. Bronx, NY 10458, The Bronx",10458,The Bronx,Bronx
Bronx Council on the Arts,"1738 Hone Ave. Bronx, NY 10461, The Bronx",10461,The Bronx,Bronx
NFL Experience Times Square,"20 Times Square, 701 Seventh Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,Times Square/Theatre District,Manhattan
Randall's Island Park,"East and Harlem Rivers Manhattan, NY 10035, Randalls Island",10035,Randalls Island,Manhattan
Ed Sullivan Theater,"1697 Broadway Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
Essex Street Market,"120 Essex St. Manhattan, NY 10002, Lower East Side",10002,Lower East Side,Manhattan
The Conference House Museum,"298 Satterlee St Staten Island, 10307, Tottenville",10307,Tottenville,Staten Island
Pier 45,"Enter at Christopher St and the West Side Highway Manhattan, NY 10014, West Village",10014,West Village,Manhattan
Riverbank State Park Ice Rink,"679 Riverside Dr. Manhattan, NY 10031, Harlem",10031,Harlem,Manhattan
American Stock Exchange Building,"86 Trinity Place New York, NY 10006, Lower Manhattan",10006,Lower Manhattan,Manhattan
Pier 40,"353 West St Manhattan, NY 10014, Greenwich Village",10014,Greenwich Village,Manhattan
Long Island City Partnership,"mail: 27-01 Queens Plaza North, 9th fl. Queens, NY 11101, Long Island City",11101,Long Island City,Queens
"The Great Hall, Cooper Union","7 East 7th Street Manhattan, NY 10003, East Village",10003,East Village,Manhattan
Czech Center New York,"321 E 73rd St Manhattan, NY, Upper East Side",10021,Upper East Side,Manhattan
The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center,"3940 Broadway Manhattan, NY, Harlem",10032,Harlem,Manhattan
79th Street Boat Basin,"W 79th St and the Hudson River Manhattan, NY 10024, Upper West Side",10024,Upper West Side,Manhattan
New York City Center,"W. 55th St. betw. Sixth & Seventh Aves.; mail: 130 W. 56th St. Manhattan, NY 10019, Midtown West",10019,Midtown West,Manhattan
Electric Lady Studios,"52 W 8th St New York, NY 10011 West Village",10011,NY 10011 West Village,Manhattan
Harlem Park to Park,"mail: 134 W. 118th St., ground fl. Manhattan, NY 10026, Harlem",10026,Harlem,Manhattan
St. Bartholomew's Church,"325 Park Ave Manhattan, NY, Midtown East",10022,Midtown East,Manhattan
Kissena Golf Course,"16415 Booth Memorial Ave Queens, NY 11365, Fresh Meadows",11365,Fresh Meadows,Queens
Riverside Park South,"Henry Hudson Parkway at W. 70th St. Manhattan, NY 10023, Upper West Side",10023,Upper West Side,Manhattan
Poets House,"10 River Terr. Manhattan, NY 10282, Battery Park City",10282,Battery Park City,Manhattan
